tmdb_id,Title,Release_Date,Vote_Average,Popularity,budget,revenue,runtime,genres,Poster_URL,production_companies,status
1084242,Zootopia 2,2025-11-26,7.6,261.6296,150000000,1654744584,107,"Animation, Comedy, Adventure, Family, Mystery",https://image.tmdb.org/t/p/w500/bjUWGw0Ao0qVWxagN3VCwBJHVo6.jpg,Walt Disney Animation Studios,Released
83533,Avatar: Fire and Ash,2025-12-17,7.361,371.9098,350000000,1230590528,198,"Science Fiction, Adventure, Fantasy",https://image.tmdb.org/t/p/w500/cf7hE1ifY4UNbS25tGnaTyyDrI2.jpg,"20th Century Studios, Lightstorm Entertainment, TSG Entertainment",Released
967941,Wicked: For Good,2025-11-19,6.7,64.9189,150000000,522463829,137,"Fantasy, Adventure, Romance",https://image.tmdb.org/t/p/w500/si9tolnefLSUKaqQEGz1bWArOaL.jpg,"Universal Pictures, Marc Platt Productions, dentsu",Released
1228246,Five Nights at Freddy's 2,2025-12-03,6.8,142.8707,36000000,234603692,104,"Horror, Thriller",https://image.tmdb.org/t/p/w500/udAxQEORq2I5wxI97N2TEqdhzBE.jpg,"Blumhouse Productions, Scott Cawthon Productions, Mind Hive Films",Released
1368166,The Housemaid,2025-12-18,7.2,175.8914,35000000,192500153,131,"Mystery, Thriller",https://image.tmdb.org/t/p/w500/cWsBscZzwu5brg9YjNkGewRUvJX.jpg,"Lionsgate, Media Capital Technologies, Hidden Pictures, Pretty Dangerous Pictures, Feigco Entertainment",Released
1291608,Dhurandhar,2025-12-05,6.6,40.9121,16500000,136150475,212,"Action, Thriller",https://image.tmdb.org/t/p/w500/84vTL97U8FKRNIK6mgc6jXyqyJk.jpg,"B62 Studios, Jio Studios",Released
991494,The SpongeBob Movie: Search for SquarePants,2025-12-16,6.698,39.8341,64000000,132231000,88,"Animation, Family, Comedy, Adventure",https://image.tmdb.org/t/p/w500/pDWYW9v8fmJdA7N0I1MOdQA3ETq.jpg,"Paramount Animation, Nickelodeon Movies, Domain Entertainment, MRC, Reel FX Creative Studios, United Plankton Pictures",Released
1049574,Darkness of Man,2025-12-18,5.0,2.7488,5000000,116950000,108,"Action, Crime, Thriller",https://image.tmdb.org/t/p/w500/mTYDsPX2n4kdMheBZnqe1tzcimH.jpg,"VMI WorldWide, Sandaled Kid Productions",Released
1234731,Anaconda,2025-12-24,5.9,71.2014,45000000,110073000,100,"Adventure, Comedy, Horror",https://image.tmdb.org/t/p/w500/5MDnvvkOqthhE5gQebzkcOhD1p5.jpg,"Fully Formed Entertainment, Columbia Pictures, TSG Entertainment",Released
1317288,Marty Supreme,2025-12-19,8.0,47.5445,65000000,79075530,150,"Drama, Comedy",https://image.tmdb.org/t/p/w500/firAhZA0uQvRL2slp7v3AnOj0ZX.jpg,"A24, Central Pictures",Released
1167307,David,2025-12-14,8.1,14.6038,60900000,75633480,109,"Animation, Family, Drama",https://image.tmdb.org/t/p/w500/7lFG1WrCwAxBfyGK8ahlBVzXno7.jpg,"Sunrise Productions, Slingshot USA, Angel Studios, 2521 Entertainment",Released
1472638,Buen Camino,2025-12-25,6.5,20.0546,28100000,62504473,0,"Comedy, Family, Adventure",https://image.tmdb.org/t/p/w500/3rlO9DkQQaKbRkAZVXcUED3DFrE.jpg,"Indiana Production, Medusa Film",Released
1371185,Song Sung Blue,2025-12-25,7.359,18.2806,30000000,40718000,133,"Drama, Music, Romance",https://image.tmdb.org/t/p/w500/3HsIAbHWbFDUbY2jfj4wqEjGC3b.jpg,"Focus Features, Davis Entertainment",Released
1259102,Eternity,2025-11-26,7.146,36.1834,12000000,32867848,114,"Romance, Comedy, Drama",https://image.tmdb.org/t/p/w500/o8pg20G67BGmQvRkXwstNre062J.jpg,"A24, Star Thrower Entertainment",Released
858024,Hamnet,2025-11-26,7.8,17.5016,30000000,17104485,126,"Drama, Romance",https://image.tmdb.org/t/p/w500/71KNp6RiOQTbs8Fn1DagrFQrZmx.jpg,"Hera Pictures, Neal Street Productions, Amblin Entertainment, Book of Shadows",Released
1315303,Primate,2026-01-01,6.5,53.9084,21000000,13400000,89,"Horror, Thriller",https://image.tmdb.org/t/p/w500/5Q1zdYe9PYEXMGELzjfjyx8Eb7H.jpg,"18Hz Productions, Paramount Pictures, Domain Entertainment",Released
